user_id,products,reviews
1213812,93,1
3205676,494,1
5800753,107,6
6411464,92,1
7109068,161,1
7293100,55,1
7380079,266,12
7760258,238,7
9889423,392,4
10123571,62,6
10286261,48,3
11292051,69,1
11453503,53,1
11836037,128,2
11857047,16,1
11898904,1878,4
12151211,139,1
12155770,125,1
13483720,352,1
13550015,184,1
27075,286,4
266968,90,2
812067,382,2
886091,111,1
1012314,175,1
1378679,282,2
2541993,14,1
2786318,46,1
3214120,146,1
4210417,88,1
4496889,232,8
4521212,99,10
4798225,83,1
4802066,95,1
4943103,235,9
4989129,59,1
5148586,113,7
5169480,15,2
5227156,48,1
5244033,179,7
5378929,41,1
5418930,100,1
5582970,71,1
5607751,153,20
5618152,211,1
6099447,68,2
6214911,46,2
6450514,337,2
6687616,21,1
6831373,376,11
6869950,40,1
6901963,18,1
7176314,73,3
7356146,23,0
7512351,182,13
7634650,31,1
7783261,25,1
8233666,20,1
8670673,28,2
8768039,58,1
8964903,67,0
9070986,483,1
9163408,50,3
9271340,21,1
9488798,41,1
9762317,24,1
10121663,181,1
10179845,92,3
10356996,33,22
10415389,152,7
10421657,145,28
10596430,19,0
10875359,6,1
11041588,4,1
12278924,106,5
12430099,63,1
12617461,13,1
13268352,60,4
14182926,46,3
225112,127,13
257978,54,1
320417,2,1
1029320,57,1
1789976,7,1
2312480,58,2
3053394,48,2
3351932,13,1
3362007,56,1
3482289,33,1
3913248,61,5
3996164,17,1
4040559,2,1
4389054,0,1
5009292,437,0
5293490,191,1
6585661,57,1
11591642,441,6
856906,200,1
5519364,399,2
5877055,75,1
6554750,300,2
8115818,396,1
11314392,783,2
11444335,488,21
11498956,237,1
11850486,7,2
12198698,175,22
14105843,254,1
14225023,188,2
131370,1051,13
187165,138,2
1109401,214,1
1173903,47,1
1386560,23,1
1453299,161,2
1676757,203,1
1791408,199,1
2883212,15,2
3081160,12,1
3962229,32,1
4076314,30,2
4278562,97,4
4520435,16,1
4527171,77,1
4562184,34,1
4876311,119,3
5353235,53,1
5832096,245,2
5833093,243,2
5876460,235,2
6073195,229,1
6158124,14,1
6402477,13,1
6696797,41,2
6836242,99,11
7084051,72,7
7264262,14,1
7525946,127,1
7977530,64,1
7999561,24,1
8110899,30,3
8303942,78,1
8341362,139,10
8567598,33,3
8868127,367,5
8966563,33,2
9294646,70,1
9373192,62,1
9714648,219,23
9849007,64,1
9933518,51,1
10056998,41,2
10077705,48,2
10189461,3,1
10383962,61,1
10469518,172,1
10515913,39,1
12238276,31,2
12329619,49,1
12654693,91,5
12793294,59,1
13033660,97,1
13033870,4,1
13230203,92,2
13235102,43,4
13449645,30,3
13681847,17,1
14052707,185,3
14185462,44,1
685758,73,1
869178,26,1
1241908,43,1
1841481,35,1
1842166,55,1
1977058,4,1
2080702,35,2
2107101,8,3
2373493,25,0
2412918,215,6
2857546,28,1
3021390,23,1
3131502,12,3
3285919,8,1
3395646,12,1
3520195,9,2
3633097,26,1
3800264,6,1
3860034,12,1
3934784,54,13
7426459,224,0
7994887,17,1
8771432,386,5
9288310,232,6
10471853,241,2
10769569,133,6
11067496,153,1
11358439,174,1
11615910,33,1
12009763,86,13
12028786,54,1
12508553,10,3
12689518,96,1
13260957,4,1
14132202,104,1
806038,58,1
1545489,1402,10
1677977,60,1
1880262,76,1
3494049,165,6
4013429,341,6
4114584,517,13
4331040,245,2
4451184,62,1
4991432,30,0
5028991,454,3
5061863,96,1
5389845,196,1
5399148,166,5
5457145,79,1
5686882,599,1
5807289,56,12
6203186,39,1
6244948,89,1
6476026,435,14
6490549,170,1
6918552,72,4
7363939,251,1
8381585,110,1
8892506,284,2
8951917,40,2
9108902,262,14
9406799,132,4
9469028,160,3
9709119,38,2
9945139,0,1
9989389,28,1
10057847,21,6
10063751,43,3
10287892,499,3
10316226,14,1
10693994,15,1
10802850,85,1
10860936,71,5
10903043,87,2
11141849,55,1
11146612,53,2
12288116,65,5
12361620,19,3
12745385,17,3
13086528,39,3
13168418,79,5
13336435,3,1
13436694,86,1
13674453,133,7
13787474,18,1
